sommer--ii-48	lanzarote-ii-48	fr111-ii-48	fr751-ii-48	inc-ii-48	micha-ii-48	lancellotto-ii-48
Si vous dirai  ce que vous me denmandastes.  ore le me dites  dont fait bohors. 	Pues deçidmelo dixo boores  asi es dixo la donçella  que oy mañana entre mi  e vn cauallero 	quil ny a  Si uous diray seurement  ce que uous me demandastes.  dictes fait il. 	Si uus dirai ore seurement  ce que uos me demandates na gaires.  Dites  dont damoisele fait il. 	que cestui si uous diray seurement  ce que uous mauez demande. 	que cestui;  si vos dirai ore seurement  ce que vos me demandastes n’a encor gaires. —  Dites,  fet il. —  Sire, 	si vi dirò ora sicuramente ciò che voi mi domandaste. —  Dite, diss’elli. — 
Par foy sire fait elle entre moi et. i. cheualier  qui mes amis estoit cheualchiemes parmi chest chastel. 	que hera mi amigo pasamos poreste castillo 	par foy fait elle moy et ung cheualier  qui mon amy estoit cheuauchons a matin parmy  ce chastelet ilecquez 	SIre fait ele par foi entre moi et .i. cheualier  qui mes amis estoit.  cheuauchiens hui matin parmi cest chastelet illuec. 	Par ma foy fait elle moy et ung cheualier  qui mon amy estoit cheuauchions parmi cest chasteau. 	fet ele,  entre moi et I. chevalier  qui mes amis estoit chevalchions hui matin par mi cest chastel 	laPer fé, diss’ella,  intra me e uno cavaliere  che mio amico era cavalcamo oggi mattinetto per me questo ricetto, 
Et quant li freres a celui 	e quando el señor del castillo 	Et quant le frere a celuy 	et quant li freres a celui 	Et quant le frere de celui 	et quant li freres a celui 	e quando il fratello di colui 
qui vous aues abatu me uit.  si me volt auoir et prendre par force  quar il mauoit lonc tamps amee.  Si me prist au frain  et men volt mener a force. 	hermano de aquel que vos derribastes  me vido quisome prender afuerça e trabo del freno demi palafren  e quisome llebar 	quie uous auez ores abatu me uit.  si me uoult prendre a force  car il mauoit longuement amee  si me prist au fraing  et me uoult mener a force 	que uos aues ore abatu:  me uit.  Si me uot a force prandre.  Car il mauoit mout longuement amee.  Si me prist  et me uost mener a force  si tost comme il me tint au fraing. 	que uous auez abatu me uist si me uoulut auoir et prendre a force:  car il me auoit longuement aymee.  Il print mon cheual  et men uoulut mener a force: 	que vos avés abatu me vit,  si me volt a force prendre,  kar il m’avoit molt longuement amee;  si me prist al frain  et m’en volt mener a force, 	che voi avete ora abatuto mi vide,  si mi volle a forza prendere,  ché m’avea lungamente amato;  simmi prese al freno  e mi volle menare a forza, 
Mais mes anis se combati a lui  tant quil locist.  Et quant chils cheualiers  que vous uees  chi vit son frere mort. 	e me vido mi amigo llebar  conbatiose conel tanto quelo mato  e quando aquel que alli esta vido asu ermano muerto 	mais mon amy se combaty a luy si loccist.  Et quant celuy  que uous auez ores cy abatu uit son frere mort 	Mais mes amis se combati a lui  tant que il locit.  et quant ciz que uos ueez ore ci uit son frere mort : 	mais mon amy se combatist a lui  tant qu il loccist.  Et quant celui que uous uoiez cy uist son frere mort 	mes mes amis se combati a lui  tant qu’il l’ocist.  Et quant cist  que vos veez ci ore vit son frere mort, 	ma mio amico si combatté tanto a-llui  che-ll’ucise.  ME quando questo che voi avete qui ora abatuto  vide suo fratello morto, 
si fist mon ami prendre par force de vilains. 	fiço prender ami amigo  a fuerça de gente e de villanos 	si fist prendre mon amy a force de uilanis et de gens. 	si fist mon ami prandre a force de uilains et de gent. 	il fist mon amy prendre par force de gens et de uillains/ 	si fist mon ami prendre a force de vilains et de gens 	si fece mio amico prendere a forza di villani e di genti, 
et locist por uengance de son frere  quil auoit ochis.  Et dist 	e matolo en enmienda dela muerte desu hermano  e dixo 	si loccist on uengence de son  frere.Mais il dist 	Et locit en la uangence de son frere.  mais de moi p̾  cui ses freres auoit este ocis  dist il 	et loccist en uengance de son frere  et dist 	et l’ocist en venjance de son frere.  Mais de moi,  por cui Ses freres avoit esté ocis,  dist il 	e l’uccise in vendicanza di suo fratello.  Ma di me,  per cui suo fratello avea stato morto,  diss’elli 
quil se vengeroit de moi sans main metre.  et me fist tantost prendre a ches. iiij. ribaus 	que demi se vengaria el seguramente  porque fui ocasion dela muerte de su hermano  entonçe fiço tomar aquellos quatro villanos 	quil se uangeroit de moy  pour qui son frere auoit este occis sans main mectre  si me fist prendre a ces quatre ribaux 	quil sen uangeroit sans main mestre.  Si me fist prandre a ses .iiii. uilains 	quil se uengeroit de moy sans main mettre.  Si me fist prendre par ces quatre ribaulx 	qu’il se vengeroit sans main metre; si me fist prendre a ces ribaus 	che-ssi vendicherebbe sanza in me mettere mano,  si mi fece prendere a nfino a tre l rubaldi 
que vous ueistes ore.  et lor commanda  quil me noiassent. 	que vos vistes  e mandoles que me matasen en aquel agua 	qui uous ueistes  et leur commanda  quilz me noyassent. 	que uos ueistes si lor coumanda  quil me noiassent. 	que uous auez ueu  et leur commanda  quilz me noyassent/ 	que vos veistes  et lor commanda  qu’il me noiaissent, « 	che vo' vedeste  e loro comandò  che m’anegassono, 
Car par armes dist  il ne voeil iou mie  que elle muire.  Si me menoient 	ca por armas no me queria matar  e ellos me mataran sin falta 	Car par armes  fist il ne uueil ie pas quelle meure.  si me menoient pour mourir 	Car par hommes ne uoeil ge gaie  fait il quele morit.  Si [cum] amenerent ainsi 	car par armes ne uueil ie pas  que elle meure. Si me emmenoient ainsi 	kar par armes,  dist il,  ne vueil je mie  qu’ele muire » ;  si m'enmenoient, 	ché per mano di persona,  diss’elli,  non voglio  ch’ella muoia».  i-mmi menavano, 
ensi com vous ueistes por noier 	si vos porla voluntad de dios 	ainsi comme uous ueistes 	com uos ueistes [raqrir] 	comment uous auez ueu pour noyer 	si com vos veistes, morir 	insi come vo vedeste,  per fare morire, 
quant vous me uenistes rescorre par la volente de dieu et la vostre. 	e porla vuestra no me acorrierades 	quant uous me uenistes secourir. par la uoulente de dieu et par la uostre 	quant uos me [uenistes] secorre par la uolente de dieu et la uostre.  Sire fait la damoisele a beħ. 	quant uaus me uenistes secourir par la uoulente de dieu et par la uostre. 	quant vos me venistes secorre par la volenté de Dieu et par la vostre. 	quando vo mi veniste a soccorrere  per la volontà di Dio e della vostra. 
vous ai conte mon errement 	agora vos e contado todo mi acaesçimiento  como me contesçio 	Or uous ay tout comte mon criement. 	Or uous ai conte mon errement. 	Or uous ay toute compte  ma fortune/ si uouldroie se uostre uoulente 	Or vos ai conté mon errement ; 	Or vo ho contato tutta mia ventura, 
si volroie  se vostre volentes 	e querria 	si uoudroye desormais si uostre plaisir estoit 	Si uorroie desormais se uostres [puisses] estoit : 	y estoit 	si voldroie des Ore mes,  se vostre plaisirs estoit, 	si vo vorre' da oggimai,  se vostro piacere fosse, pregare 
y estoit que vous me metissies a sauuete.  En vn mien castel 	que me llebasedes a vn mi castillo 	que uous me menez a sauuete en ung mien chastel 	que uos me menissiez a sauuete en .i. mien chastel 	que uous me menissez a sauuete en ung mien chasteau 	que vos me menissois a salveté en un mien chastel 	che vo' mi conduceste a salvamento in uno mio castello 
qui est pres de chi. volentiers fait il 	que es çerca de aqui 	qui est cy pres. uoulentiers  fait il 	qui est ci pres. uolentiers damoisele 	qui est cy pres.  Voulentiers dit il. 	qui est ci pres. —  Volentiers », 	ch’è qui presso. —  Volentier. 
et il le prent maintenant par les bras 	si vos plaze de GraDo dixo boores 	si la prent par les braz 	Sire a si la prent par le bras 	et il la prent par le bras 	fet il.  Si le prent par les bras 	disse elli».  Si-lla prende per lo braccio 
et le met sor le col de son cheual.  et met son escu derriere son dos. 	e luego echo su escudo alas espaldas  e tomola Porel braço  e pusola antesi Ensu caballo 	et la monte deuant soy sur le col de son cheual.  si a gecte son escu derriere son dos. 	et la mest deuant lui sur le col de son cheual.  Si ageste erranmet son escu derier son dos. 	et puis la met sur le col de son cheual/ si a iecte son escu derrier son dos: 	et le monte par devant lui sor le col de son cheval,  si a geté son escu derieres son dos, 	e la monta davanti a sé  sopra il corpo di suo cavallo,  si getta suo scudo di dietro suo dosso, 
si sen torne cele part ou la damoisele lenseigne 	e fuese ansi conella  por do ella lo yria guiando fasta medio dia 	et sen uait celle part  ou la damoisele luy enseigne. 	Si sen ua cele part ou la damoisele li ensangne.  Si cheuaucherent ainsi 	et puis tourne celle part  la ou la damoiselle lui enseigne 	si s’en vet cele part  ou la damoisele li enseigne 	si se ne va in quelle parti  ove la damigella gli 'nsegna, 
Tant que chou vint apres miedi  que il virent deuant euls vn moult bel castel. 	Que vieron vn muy fermoso castillo 	tant que ce uient apres medoy  quilz uoyent deuant eulx en ung tertre ung meoult bel chastel 	tant que ce uint apres midi.  et lors uirent deuant aux en lor chemin  .i.	tant que uint aprez  midy que ilz uirent deuant eulx ung moult beau chasteau: 	tant que ce vint aprés midi  qu’il voient en un tertre I. bel a chastel, 	tanto che ciò venne apresso di mezodi  che vegono davanti loro, in uno poggio, uno castello molto bello. 
			tertre.Ou il auoit .i. tres bel chastel. 			
Et lors ataingnent. ij. escuiers a lentree dun boskel 	e alcançaron dos escuderos  ala salida devn monteçillo 	et lors actaignent deux escuiers  qui yssoient dung boys 	et lors ataignent .ii. escuiers  qui issoient dun boschet. 	et lors attaignent deux escuiers a lentree de ung petit boix 	et lors ataignent Il. escuiers  qui issoient d’un bossel 	Allora agiungono due scudieri  che uscivano d’uno boschello 
et portoit cascuns venison torsee derriere lui. 	que traia cada vno vn corço atroxado trassi 	et chascun aportoit uenoison troussee derriere soy. 	et aportoit chascuns uenison trossee douant soi. 	et portoit chacun uenoisen derrier lui troussee. 	et aportoit chescuns venoisons trosee detriers soi. 	e aportavano amenduni cacciagione torsata di dietro a llui. 
Et quant il voient la damfolisele  si descendent a pie 	e desque vieron la donçella desçendieron apie 	Et quant ilz uirent la damoisele  si descendirent a pie 	et quant il uirent la damoisele  qui beh̾ auoit deuant luy  si sont dessendu a pie 	Et quant ilz uirent la damoiselle  ilz descendirent a pie 	Quant il virent la damoisele,  si descendent a pié 	E quand’e' vidono la damigella,  si discenderono immantanente a ppiè 
et li font si grant ioie  comme a celui  qui lor dame estoit. 	e fueron e fezieron gran alegria conella  como aquella que hera su señora 	et luy font moult grant ioye  comme a celle  qui leur dame estoit. 	et li font la plus grant ioie dou monde a cele  qui leur lige dame estoit 	et lui firent si grant henneur et si grant ioye  comme a celle  qui leur dame estoit: 	et li font grant joie com a celi  qui lor dame estoit 	e gli fanno grande gioia come a colei  che loro dama era, 
mais moult sesmerueillent 	mas mucho se marauillaron 	mais moult se merueillent 	Mais mout se merueillent 	mais moult se merueillent 	mais molt se merveillent 	ma molto si maravigliarono 
de ce quil la voient plorer. 	porque la vian ansi venir	de ce quilz la uirent plourer. 	quant il la uirent si plorer. 	de ce qu ilz la uoient plourer: 	de ce qu’il la virent plorer: 	di ciò che lla vidono impiagnendo. 
si li demandent  que elle a. 	e preguntaronla que auia 	si luy enquierent quelle a. 	et plus de son ami  que il ne uerent pas mandent  que ele a. 	si demandent  que elle a. 	si li enquierent  que ele a. 	Si-lla inchiesono  ch’ell’avea, 
Et elle lor conte 	e ella les conto 	et elle leur comte 	et ele lor dit et conte  coment ueuir auecques li. 	et elle leur compte 	Et ele lor dit 	ed ella lor disse 
comment sez amis auoit este ochis. 	como su amigo hera muerto 	comme son amy auoit este occis. 	Si li en quierent  et de ses amis auoit este ocis. au chastel 	comment son amy auoit este occy/ 	comment ses amis avoit esté ocis, « 	come suo amico era stato ucciso, 
et iou meisme eusse este ochise. 	e dixo yo mesma fuera muerta 	Et ie mesmes fait elle feusse morte 	ou il trespasoient.  Sire meismes fait ele eusse este morte : 	et moy mesmes eusse este occie 	et je meismes euisse esté morte. 	«ed io medesima, diss’ella,  fosse stata morta, 
se ne fust cils frans cheualiers 	sino fuera por aqueste buen cauallero 	se ne fust ce franc cheualier 	Ce ne fust ciz frans cheualiers ci. 	se ne feust ce franc cheualier 	se ne fust cis frans chevaliers 	se non fosse questo franco cavaliere 
qui par Sa debonairete ma rescousse.  et se mist en peril de mort pour moi sauuer. 	que me libro  e se metio en peligro de muerte  Por me librar 	qui par sa debonairete ma rescousse. et sest mise on peril de mort 	qui par sa debonairete et par sa franchisse marescosse des mains a mes anemis  et se mist en peril de mort por moi sauuer. 	qui par sa debonnairete ma rescousse et sest mis en peril de mort pour moy sauuer. 	qui par sa debonaireté me resqueust  et se mist em peril de mort  por ma vie sauver. » 	che per sua dibonarità mi riscosse,  si si misse in periglio di morte per mia vita salvare». 
Et lors conseilla elle a. j. de ses escuiers 	e luego destroçaron el vn corço  e pusieronlo enel Palafren 	pour sauuer ma uie.  Et lors conseille a lun 	et se ne lauoie ie pas deserui. 	Et lors elle parle a conseil a ung des escuiers 	Et lors conseille a l’un de ses escuierset 	Allor si consiglia con l’uno, 
Et cil destorse tout maintenant sa venison  et le baille a porter a son compaignon 	e ymbiaronlo al castillo conel vn escudero  e pusieron ala donçella enel otro 	et cil baille sa uenoison a porter a son compaiguon. 	et diex doint  que ie li puisse guerredoner.  Lors conseille maintenant la damoisele a .i. des escuiers.  et il destrore maintenant sa uenisson et la baille a lautre por portee 	et celui se destrousse maintenant de sa uenoison  et la baille a porter a son compaignon 	cil se destrosse maintenant de sa venoison,  si la baille a son compaignon por porter, 	e quelli iscioglie immantanente sua cacciagione  e la dona a suo compagnone per portarnela, 
et sen vait vers le castel  quanque il pot del ronchi traire. 	e fueronse contrael castillo quanto podian 	si sen uait uers le chastel  tant quil puet traire du roucin. 	Si sen ua uers le chastel  quanque il puet de roncin traire 	et sen ua uers le chasteau  tant quil peut courir atout son roussin. 	si s’en vet vers le chastel  quanqu’il puet traire del roncin. 	si se ne va inverso il castello  quanto che può trarre del ronzino. 
